1,0,0.019,0.31
2,0,0.516,998.
3,0,1.892,449.
4,0,0.052,43.
5,0,38.7,865.
6,0,180.6,567.
7,0,332.,824.
8,0,0.,0.
9,0,0.,0.
10,0,0.,0.
11,0,2.7,571.
12,0,1.2,399.
13,0,1.3,744.
14,0,0.8,468.
15,0,0.9,798.
16,0,0.4,428.
17,0,0.53,370.
18,0,0.,0.
19,0,0.,0.
20,0,0.,0.
21,0,1.3,456.
22,0,1.2,462.
23,0,0.67,384.
24,0,0.15,156.
25,0,0.95,430.
26,0,0.46,375.
27,0,1.3,380.
28,0,1.03,435.
29,0,0.,0.
30,0,0.,0.
31,0,0.68,390.
32,0,0.15,246.
33,0,0.64,330.
34,0,0.59,269.
35,0,0.67,457.
36,0,1.1,480.
37,0,0.55,332.
38,0,0.86,360.
39,0,0.,0.
40,0,0.,0.
41,0,0.163,350.
42,0,0.224,448.
43,0,0.095,220.
44,0,0.18,217.
45,0,0.13,67.
46,0,0.06,62.
47,0,0.069,76.
48,0,0.,0.
49,0,0.,0.
50,0,0.,0.
51,0,0.16,186.
52,0,0.15,155.
53,0,0.12,124.
54,0,0.16,171.
55,0,0.,0.
56,0,0.,0.
57,0,0.,0.
58,0,0.,0.
59,0,0.,0.
60,0,0.,0.
61,0,0.048,78.
62,0,0.052,93.
63,0,0.12,234.
64,0,0.19,326.
65,0,0.15,171.
66,0,0.16,226.
67,0,0.038,9.3
68,0,0.,0.
69,0,0.,0.
70,0,0.,0.
71,0,0.036,4.8
72,0,0.034,6.4
73,0,0.036,20.
74,0,0.044,240.
75,0,0.055,60.
76,0,0.,0.
77,0,0.,0.
78,0,0.,0.
79,0,0.,0.
80,0,0.,0.
81,0,0.04,5.4
82,0,0.032,8.4
83,0,0.022,12.
84,0,0.024,11.3
85,0,0.025,11.3
86,0,0.043,9.
87,0,0.038,15.
88,0,0.031,12.
89,1,0.034,47.3
90,0,0.,0.
91,0,0.2,0.
92,0,0.1,0.
93,0,0.,0.
94,0,0.,0.
95,0,0.,0.
96,0,0.,0.
97,0,0.,0.
98,0,0.,0.
99,0,0.,0.
100,0,0.,0.
