窓の熱貫流率と遮蔽係数（単板ガラス・ブラインド室内側）
106
54,10,6.3,0.138,0.511,4.5,0.269,0.163,4.5,0.303,0.150,4.5,0.331,0.142
55,10,6.3,0.126,0.515,4.5,0.256,0.163,4.5,0.293,0.149,4.5,0.321,0.141
56,10,6.3,0.149,0.457,4.5,0.259,0.150,4.5,0.288,0.138,4.5,0.310,0.131
57,10,6.3,0.166,0.411,4.5,0.263,0.138,4.5,0.285,0.129,4.5,0.303,0.123
58,10,6.3,0.181,0.377,4.5,0.265,0.130,4.5,0.283,0.122,4.5,0.297,0.118
59,10,6.3,0.119,0.511,4.5,0.248,0.161,4.5,0.286,0.146,4.5,0.314,0.138
60,10,6.3,0.139,0.459,4.5,0.253,0.149,4.5,0.282,0.136,4.5,0.306,0.129
61,10,6.3,0.154,0.423,4.5,0.256,0.139,4.5,0.281,0.129,4.5,0.301,0.123
62,10,6.3,0.167,0.395,4.5,0.259,0.134,4.5,0.280,0.125,4.5,0.297,0.119
63,10,6.3,0.089,0.592,4.5,0.243,0.183,4.5,0.291,0.165,4.5,0.331,0.153
64,10,6.3,0.109,0.544,4.5,0.249,0.171,4.5,0.290,0.155,4.5,0.323,0.145
65,10,6.3,0.123,0.509,4.5,0.254,0.163,4.5,0.290,0.149,4.5,0.319,0.139
66,10,6.3,0.139,0.473,4.5,0.258,0.155,4.5,0.290,0.142,4.5,0.314,0.134
67,11,6.0,0.133,0.493,4.4,0.253,0.163,4.4,0.288,0.149,4.4,0.317,0.139
68,11,6.0,0.138,0.483,4.4,0.256,0.161,4.4,0.291,0.146,4.4,0.318,0.138
69,11,6.0,0.145,0.474,4.4,0.259,0.160,4.4,0.293,0.146,4.4,0.319,0.137
70,11,6.0,0.151,0.467,4.4,0.263,0.159,4.4,0.295,0.145,4.4,0.320,0.137
71,12,5.8,0.139,0.367,4.3,0.221,0.129,4.3,0.245,0.118,4.3,0.264,0.111
72,12,5.8,0.146,0.362,4.3,0.226,0.128,4.3,0.249,0.118,4.3,0.267,0.111
73,12,5.8,0.153,0.359,4.3,0.231,0.128,4.3,0.254,0.118,4.3,0.271,0.112
74,12,5.8,0.160,0.355,4.3,0.237,0.128,4.3,0.258,0.118,4.3,0.274,0.112
