YEAR,MO,DY,YB,HR,,ROOM-T,CLOD-S,RHEX-S,AHEX-S,FS,ROOM-H,CLOD-L,RHEX-L,AHEX-L,FL,MRT'
   0, 1, 1,8, 1,0, 23.35, -13.2,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 22.47
   0, 1, 1,8, 2,0, 22.27, -13.9,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 21.37
   0, 1, 1,8, 3,0, 21.52, -14.7,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 20.69
   0, 1, 1,8, 4,0, 20.96, -15.5,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 20.22
   0, 1, 1,8, 5,0, 20.50, -16.3,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 19.85
   0, 1, 1,8, 6,0, 20.10, -17.1,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 19.53
   0, 1, 1,8, 7,0, 19.75, -17.8,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 19.23
   0, 1, 1,8, 8,0, 19.41, -18.5,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 18.94
   0, 1, 1,8, 9,0, 22.00,  16.7,   1.4,   1.4,10,  6.66,   0.3,   1.2,   1.2,10, 23.19
   0, 1, 1,8,10,0, 22.00,  52.3,  55.0,  55.0,10,  6.66,   0.6,   0.7,   0.7,10, 27.94
   0, 1, 1,8,11,0, 22.00,  52.4,  55.6,  53.5,10,  6.66,   0.6,   0.6,  -0.5,10, 27.89
   0, 1, 1,8,12,0, 22.00,  52.6,  55.9,  53.9,10,  6.66,   0.6,   0.6,  -0.5,10, 27.85
   0, 1, 1,8,13,0, 22.00,  52.8,  56.1,  54.1,10,  6.66,   0.6,   0.6,  -0.4,10, 27.83
   0, 1, 1,8,14,0, 22.00,  53.1,  56.4,  54.3,10,  6.66,   0.6,   0.6,  -0.3,10, 27.82
   0, 1, 1,8,15,0, 22.00,  53.3,  56.6,  54.5,10,  6.66,   0.6,   0.6,  -0.2,10, 27.83
   0, 1, 1,8,16,0, 22.00,  46.2,  49.6,  47.4,10,  6.66,   0.5,   0.5,  -0.2,10, 27.10
   0, 1, 1,8,17,0, 22.00,  39.0,  42.5,  40.3,10,  6.66,   0.5,   0.5,  -0.2,10, 26.35
   0, 1, 1,8,18,0, 22.00,  38.9,  42.3,  40.2,10,  6.66,   0.5,   0.5,  -0.2,10, 26.33
   0, 1, 1,8,19,0, 22.00,  38.7,  42.2,  40.2,10,  6.66,   0.5,   0.5,  -0.3,10, 26.31
   0, 1, 1,8,20,0, 22.00,  38.5,  42.0,  40.1,10,  6.66,   0.5,   0.5,  -0.3,10, 26.29
   0, 1, 1,8,21,0, 25.54,  38.4,   0.0,   0.0, 9,  6.69,   0.5,   0.0,   0.0, 9, 27.34
   0, 1, 1,8,22,0, 26.18,  20.4,   0.0,   0.0, 9,  6.70,   0.3,   0.0,   0.0, 9, 27.20
   0, 1, 1,8,23,0, 25.13,   2.2,   0.0,   0.0, 9,  6.71,   0.2,   0.0,   0.0, 9, 25.21
   0, 1, 1,8,24,0, 23.64,  -9.0,   0.0,   0.0, 9,  6.71,   0.1,   0.0,   0.0, 9, 23.10
   0, 1, 2,8, 1,0, 21.82, -20.2,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 20.75
   0, 1, 2,8, 2,0, 20.66, -20.8,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 19.61
   0, 1, 2,8, 3,0, 19.85, -21.4,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 18.90
   0, 1, 2,8, 4,0, 19.24, -22.1,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 18.40
   0, 1, 2,8, 5,0, 18.75, -22.7,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 18.01
   0, 1, 2,8, 6,0, 18.32, -23.3,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 17.67
   0, 1, 2,8, 7,0, 17.93, -23.9,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 17.36
   0, 1, 2,8, 8,0, 17.57, -24.5,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 17.05
   0, 1, 2,8, 9,0, 22.00,  10.8, -20.5, -20.5,10,  6.66,   0.3,   1.2,   1.2,10, 21.85
   0, 1, 2,8,10,0, 22.00,  46.6,  46.3,  46.3,10,  6.66,   0.6,   0.7,   0.7,10, 27.40
   0, 1, 2,8,11,0, 22.00,  47.0,  47.7,  45.9,10,  6.66,   0.6,   0.6,   0.0,10, 27.32
   0, 1, 2,8,12,0, 22.00,  47.6,  48.5,  46.8,10,  6.66,   0.6,   0.6,   0.1,10, 27.26
   0, 1, 2,8,13,0, 22.00,  48.1,  49.4,  47.7,10,  6.66,   0.6,   0.6,   0.1,10, 27.25
   0, 1, 2,8,14,0, 22.00,  48.7,  50.2,  48.5,10,  6.66,   0.6,   0.6,   0.0,10, 27.27
   0, 1, 2,8,15,0, 22.00,  49.2,  51.0,  49.3,10,  6.66,   0.6,   0.6,   0.0,10, 27.30
   0, 1, 2,8,16,0, 22.00,  42.6,  44.5,  42.8,10,  6.66,   0.5,   0.5,   0.1,10, 26.60
   0, 1, 2,8,17,0, 22.00,  35.8,  37.9,  36.2,10,  6.66,   0.5,   0.5,   0.0,10, 25.91
   0, 1, 2,8,18,0, 22.00,  36.1,  38.3,  36.7,10,  6.66,   0.5,   0.5,   0.0,10, 25.94
   0, 1, 2,8,19,0, 22.00,  36.4,  38.7,  37.1,10,  6.66,   0.5,   0.5,   0.1,10, 25.97
   0, 1, 2,8,20,0, 22.00,  36.7,  39.1,  37.4,10,  6.66,   0.5,   0.5,   0.2,10, 26.00
   0, 1, 2,8,21,0, 25.33,  37.0,   0.0,   0.0, 9,  6.69,   0.5,   0.0,   0.0, 9, 27.03
   0, 1, 2,8,22,0, 25.88,  19.3,   0.0,   0.0, 9,  6.70,   0.3,   0.0,   0.0, 9, 26.82
   0, 1, 2,8,23,0, 24.80,   1.3,   0.0,   0.0, 9,  6.71,   0.2,   0.0,   0.0, 9, 24.82
   0, 1, 2,8,24,0, 23.30,  -9.6,   0.0,   0.0, 9,  6.71,   0.1,   0.0,   0.0, 9, 22.72
   0, 1, 3,2, 1,0, 21.50, -20.7,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 20.40
   0, 1, 3,2, 2,0, 20.35, -21.1,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 19.29
   0, 1, 3,2, 3,0, 19.57, -21.6,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 18.62
   0, 1, 3,2, 4,0, 18.99, -22.0,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 18.16
   0, 1, 3,2, 5,0, 18.53, -22.4,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 17.82
   0, 1, 3,2, 6,0, 18.15, -22.8,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 17.54
   0, 1, 3,2, 7,0, 17.82, -23.2,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 17.28
   0, 1, 3,2, 8,0, 17.51, -23.5,   0.0,   0.0, 9,  6.71,   0.0,   0.0,   0.0, 9, 17.05
   0, 1, 3,2, 9,0, 22.00,  12.1, -20.4, -20.4,10,  6.66,   0.3,   1.2,   1.2,10, 21.92
   0, 1, 3,2,10,0, 22.00,  48.2,  47.1,  47.1,10,  6.66,   0.6,   0.7,   0.7,10, 27.51
   0, 1, 3,2,11,0, 22.00,  48.8,  48.7,  46.8,10,  6.66,   0.6,   0.6,  -0.4,10, 27.45
   0, 1, 3,2,12,0, 22.00,  49.4,  49.7,  47.9,10,  6.66,   0.6,   0.6,  -0.4,10, 27.40
   0, 1, 3,2,13,0, 22.00,  49.9,  50.6,  48.9,10,  6.66,   0.6,   0.6,  -0.4,10, 27.39
   0, 1, 3,2,14,0, 22.00,  50.5,  51.5,  49.8,10,  6.66,   0.6,   0.6,  -0.3,10, 27.40
   0, 1, 3,2,15,0, 22.00,  51.1,  52.3,  50.7,10,  6.66,   0.6,   0.6,  -0.2,10, 27.44
   0, 1, 3,2,16,0, 22.00,  51.8,  53.3,  51.7,10,  6.66,   0.6,   0.6,  -0.1,10, 27.50
   0, 1, 3,2,17,0, 22.00,  52.6,  54.2,  52.6,10,  6.66,   0.6,   0.6,  -0.1,10, 27.58
   0, 1, 3,2,18,0, 22.00,  35.5,  37.2,  35.5,10,  6.66,   0.5,   0.5,  -0.2,10, 25.83
   0, 1, 3,2,19,0, 22.00,  17.9,  19.8,  18.1,10,  6.66,   0.3,   0.3,  -0.4,10, 24.04
   0, 1, 3,2,20,0, 22.00,  18.0,  20.0,  18.2,10,  6.66,   0.3,   0.3,  -0.4,10, 24.06
   0, 1, 3,2,21,0, 22.49,   3.7,   0.0,   0.0, 9,  6.67,   0.2,   0.0,   0.0, 9, 22.75
   0, 1, 3,2,22,0, 21.57, -10.9,   0.0,   0.0, 9,  6.67,   0.1,   0.0,   0.0, 9, 21.20
   0, 1, 3,2,23,0, 20.99, -11.3,   0.0,   0.0, 9,  6.68,   0.1,   0.0,   0.0, 9, 20.59
   0, 1, 3,2,24,0, 20.30, -15.3,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 19.75
   0, 1, 4,3, 1,0, 19.51, -19.3,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 18.84
   0, 1, 4,3, 2,0, 18.95, -19.8,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 18.33
   0, 1, 4,3, 3,0, 18.52, -20.2,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 17.96
   0, 1, 4,3, 4,0, 18.17, -20.7,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 17.67
   0, 1, 4,3, 5,0, 17.86, -21.1,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 17.41
   0, 1, 4,3, 6,0, 17.58, -21.5,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 17.18
   0, 1, 4,3, 7,0, 17.31, -21.9,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 16.95
   0, 1, 4,3, 8,0, 17.07, -22.3,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 16.73
   0, 1, 4,3, 9,0, 22.00,  13.2, -25.3, -25.3,10,  6.66,   0.3,   0.6,   0.6,10, 21.72
   0, 1, 4,3,10,0, 22.00,  49.2,  45.5,  45.5,10,  6.66,   0.6,   0.6,   0.6,10, 27.49
   0, 1, 4,3,11,0, 22.00,  49.9,  47.5,  45.8,10,  6.66,   0.6,   0.6,  -0.6,10, 27.43
   0, 1, 4,3,12,0, 22.00,  50.9,  49.2,  47.6,10,  6.66,   0.6,   0.6,  -0.7,10, 27.41
   0, 1, 4,3,13,0, 22.00,  52.2,  50.9,  49.4,10,  6.66,   0.6,   0.6,  -0.8,10, 27.46
   0, 1, 4,3,14,0, 22.00,  53.4,  52.7,  51.2,10,  6.66,   0.6,   0.6,  -0.8,10, 27.55
   0, 1, 4,3,15,0, 22.00,  54.7,  54.3,  52.8,10,  6.66,   0.6,   0.6,  -0.8,10, 27.67
   0, 1, 4,3,16,0, 22.00,  55.9,  55.9,  54.4,10,  6.66,   0.6,   0.6,  -0.7,10, 27.79
   0, 1, 4,3,17,0, 22.00,  57.2,  57.4,  55.8,10,  6.66,   0.6,   0.6,  -0.7,10, 27.91
   0, 1, 4,3,18,0, 22.00,  40.4,  40.9,  39.1,10,  6.66,   0.5,   0.5,  -0.8,10, 26.21
   0, 1, 4,3,19,0, 22.00,  23.2,  23.9,  22.0,10,  6.66,   0.3,   0.3,  -0.9,10, 24.47
   0, 1, 4,3,20,0, 22.00,  23.5,  24.4,  22.5,10,  6.66,   0.3,   0.3,  -1.0,10, 24.51
   0, 1, 4,3,21,0, 22.87,   9.2,   0.0,   0.0, 9,  6.67,   0.2,   0.0,   0.0, 9, 23.33
   0, 1, 4,3,22,0, 22.19,  -5.4,   0.0,   0.0, 9,  6.67,   0.1,   0.0,   0.0, 9, 22.02
   0, 1, 4,3,23,0, 21.77,  -5.8,   0.0,   0.0, 9,  6.68,   0.1,   0.0,   0.0, 9, 21.55
   0, 1, 4,3,24,0, 21.18,  -9.9,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 20.79
   0, 1, 5,4, 1,0, 20.47, -14.1,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 19.93
   0, 1, 5,4, 2,0, 19.96, -14.8,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 19.44
   0, 1, 5,4, 3,0, 19.57, -15.4,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 19.08
   0, 1, 5,4, 4,0, 19.24, -16.0,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 18.80
   0, 1, 5,4, 5,0, 18.95, -16.6,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 18.55
   0, 1, 5,4, 6,0, 18.68, -17.2,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 18.31
   0, 1, 5,4, 7,0, 18.42, -17.8,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 18.08
   0, 1, 5,4, 8,0, 18.17, -18.4,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 17.85
   0, 1, 5,4, 9,0, 22.00,  16.9, -12.3, -12.3,10,  6.66,   0.3,   0.6,   0.6,10, 22.50
   0, 1, 5,4,10,0, 22.00,  52.6,  50.5,  50.5,10,  6.66,   0.6,   0.6,   0.6,10, 27.78
   0, 1, 5,4,11,0, 22.00,  53.0,  51.8,  49.9,10,  6.66,   0.6,   0.6,  -0.8,10, 27.72
   0, 1, 5,4,12,0, 22.00,  53.6,  52.9,  51.1,10,  6.66,   0.6,   0.6,  -0.7,10, 27.69
   0, 1, 5,4,13,0, 22.00,  54.4,  54.1,  52.4,10,  6.66,   0.6,   0.6,  -0.7,10, 27.72
   0, 1, 5,4,14,0, 22.00,  55.4,  55.4,  53.8,10,  6.66,   0.6,   0.6,  -0.8,10, 27.79
   0, 1, 5,4,15,0, 22.00,  56.4,  56.8,  55.0,10,  6.66,   0.6,   0.6,  -0.8,10, 27.88
   0, 1, 5,4,16,0, 22.00,  57.5,  58.1,  56.4,10,  6.66,   0.6,   0.6,  -0.8,10, 27.99
   0, 1, 5,4,17,0, 22.00,  58.6,  59.4,  57.7,10,  6.66,   0.6,   0.6,  -0.8,10, 28.10
   0, 1, 5,4,18,0, 22.00,  41.6,  42.7,  40.8,10,  6.66,   0.5,   0.5,  -0.9,10, 26.38
   0, 1, 5,4,19,0, 22.00,  24.2,  25.5,  23.5,10,  6.66,   0.3,   0.3,  -0.9,10, 24.62
   0, 1, 5,4,20,0, 22.00,  24.4,  25.8,  23.7,10,  6.66,   0.3,   0.3,  -0.8,10, 24.64
   0, 1, 5,4,21,0, 22.97,   9.9,   0.0,   0.0, 9,  6.67,   0.2,   0.0,   0.0, 9, 23.48
   0, 1, 5,4,22,0, 22.33,  -4.8,   0.0,   0.0, 9,  6.67,   0.1,   0.0,   0.0, 9, 22.21
   0, 1, 5,4,23,0, 21.94,  -5.4,   0.0,   0.0, 9,  6.68,   0.1,   0.0,   0.0, 9, 21.74
   0, 1, 5,4,24,0, 21.35,  -9.6,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 20.97
   0, 1, 6,5, 1,0, 20.63, -13.8,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 20.10
   0, 1, 6,5, 2,0, 20.12, -14.5,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 19.60
   0, 1, 6,5, 3,0, 19.72, -15.2,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 19.24
   0, 1, 6,5, 4,0, 19.38, -15.8,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 18.94
   0, 1, 6,5, 5,0, 19.09, -16.5,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 18.69
   0, 1, 6,5, 6,0, 18.81, -17.0,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 18.45
   0, 1, 6,5, 7,0, 18.56, -17.6,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 18.22
   0, 1, 6,5, 8,0, 18.31, -18.2,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 17.99
   0, 1, 6,5, 9,0, 22.00,  17.1, -10.6, -10.6,10,  6.66,   0.3,   0.6,   0.6,10, 22.60
   0, 1, 6,5,10,0, 22.00,  53.0,  51.2,  51.2,10,  6.66,   0.6,   0.6,   0.6,10, 27.83
   0, 1, 6,5,11,0, 22.00,  53.6,  52.7,  50.7,10,  6.66,   0.6,   0.6,  -1.0,10, 27.79
   0, 1, 6,5,12,0, 22.00,  54.4,  54.1,  52.1,10,  6.66,   0.6,   0.6,  -1.1,10, 27.80
   0, 1, 6,5,13,0, 22.00,  55.4,  55.4,  53.6,10,  6.66,   0.6,   0.6,  -1.1,10, 27.85
   0, 1, 6,5,14,0, 22.00,  56.5,  56.8,  55.1,10,  6.66,   0.6,   0.6,  -1.2,10, 27.93
   0, 1, 6,5,15,0, 22.00,  57.5,  58.1,  56.4,10,  6.66,   0.6,   0.6,  -1.2,10, 28.02
   0, 1, 6,5,16,0, 22.00,  58.5,  59.4,  57.5,10,  6.66,   0.6,   0.6,  -1.1,10, 28.12
   0, 1, 6,5,17,0, 22.00,  59.4,  60.5,  58.6,10,  6.66,   0.6,   0.6,  -1.1,10, 28.21
   0, 1, 6,5,18,0, 22.00,  42.1,  43.4,  41.4,10,  6.66,   0.5,   0.5,  -1.2,10, 26.45
   0, 1, 6,5,19,0, 22.00,  24.4,  25.8,  23.7,10,  6.66,   0.3,   0.3,  -1.3,10, 24.65
   0, 1, 6,5,20,0, 22.00,  24.2,  25.8,  23.6,10,  6.66,   0.3,   0.3,  -1.3,10, 24.65
   0, 1, 6,5,21,0, 22.96,   9.6,   0.0,   0.0, 9,  6.67,   0.2,   0.0,   0.0, 9, 23.46
   0, 1, 6,5,22,0, 22.31,  -5.2,   0.0,   0.0, 9,  6.67,   0.1,   0.0,   0.0, 9, 22.17
   0, 1, 6,5,23,0, 21.89,  -5.9,   0.0,   0.0, 9,  6.68,   0.1,   0.0,   0.0, 9, 21.68
   0, 1, 6,5,24,0, 21.28, -10.1,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 20.89
   0, 1, 7,6, 1,0, 20.54, -14.5,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 19.99
   0, 1, 7,6, 2,0, 20.00, -15.3,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 19.47
   0, 1, 7,6, 3,0, 19.58, -16.0,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 19.08
   0, 1, 7,6, 4,0, 19.22, -16.8,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 18.75
   0, 1, 7,6, 5,0, 18.89, -17.6,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 18.46
   0, 1, 7,6, 6,0, 18.58, -18.3,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 18.17
   0, 1, 7,6, 7,0, 18.28, -19.1,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 17.90
   0, 1, 7,6, 8,0, 17.99, -19.8,   0.0,   0.0, 9,  6.68,   0.0,   0.0,   0.0, 9, 17.63
   0, 1, 7,6, 9,0, 22.00,  15.4, -14.8, -14.8,10,  6.66,   0.3,   0.6,   0.6,10, 22.31
